french_word,russian_word
abandonner,покидать
accepter,принимать
accompagner,сопровождать
accord (m),"соглашение, договор"
acheter,покупать
adorer,обожать
affaire (f),дело
agent (m),"агент, действующая сила"
agir,действовать
aide,"(f) помощь, (m) помощник"
aider,помогать
aimer,любить
ajouter,прибавлять
aller,идти
amener,"приводить, приносить"
amour (m),любовь
amuser,развлекать
ancien,древний
année (f),год
annoncer,объявлять
apercevoir,замечать
apparaître,появляться
appel (m),"зов, сигнал"
appeler,называть
apporter,приносить
apprendre,учиться
approcher,приближать
arbre (m),дерево
argent (m),"деньги, серебро"
arme (f),"оружие, армия"
armée (f),"армия, войско"
arranger,"размещать, организовывать"
arrêter,"останавливать, арестовывать"
arriver,приезжать
asseoir,усаживаться
assurer,уверять
attaquer,"нападать, атаковать"
atteindre,достигать
attendre,ждать
attention (f),внимание
autre,другой
avancer,продвигаться
avenir (m),будущее
avion (m),самолёт
avis (m),"мнение, совет"
avoir,"иметь, обладать"
baisser,опускать
balle (f),мяч
bateau (m),лодка
battre,бить
beau,красивый
bébé (m),"ребёнок, младенец"
besoin (m),"нужда, потребность"
bizarre,странный
blanc,белый
bleu,"голубой, синий"
boire,пить
bois (m),"лес, дерево"
boîte (f),"ящик, коробка"
bonheur (m),"счастье, благополучие"
bonjour (m),приветствие (если говорим про существительное)
bonne (f),хорошая
bord (m),край
bouche (f),рот
bouger,шевелиться
boulot (m),"батон (хлеба), толстяк"
bout (m),"конец, кончик"
bras (m),рука
bruit (m),шум
brûler,жечь
bureau (m),"письменный стол, офис, рабочий кабинет"
cacher,прятать
café (m),"кофе, кафе"
calmer,успокаивать
camp (m),лагерь
capitaine (m),капитан
carte (f),карта
casser,"ломать, бить"
cause (f),причина
certain,"определенный, некоторый"
cesser,прекращать
chambre (f),комната (спальня)
chance (f),"удача, везение, случай"
changer,менять
chanter,петь
charger,грузить
chat (m),кошка
chaud,жаркий
chef,"(m) начальник, глава"
chemin (m),"дорога, путь"
cher,дорогой
chercher,искать
chéri (m),дорогой
cheval (m),лошадь
cheveu (m),волос
chien (m),собака
choisir,выбирать
choix (m),выбор
chose (f),вещь
ciel (m),небо
clair,ясный
classe (f),класс
client (m),клиент
cœur (m),сердце
coin (m),угол
colonel (m),полковник
commencer,начинать
comprendre,"понимать, содержать"
compte (m),счет
compter,считать
conduire,"вести, управлять"
confiance (f),"доверие, вера"
connaître,знать
content,довольный
continuer,продолжать
copain (m),друг
corps (m),тело
côté (m),сторона
coucher,укладывать (спать)
couleur (f),"цвет, окраска"
coup (m),удар
couper,"резать, стричь"
cour (f),"двор, суд"
courant (m),"поток, ток"
courir,бежать
cours (m),"течение, ход"
couvrir,закрывать
craindre,"бояться, опасаться"
crier,кричать
croire,"верить, считать, полагать"
cuisine (f),кухня
dame (f),"дама, женщина"
danser,танцевать
début (m),начало
décider,решать
découvrir,"открывать, раскрывать"
dégager,"выкупать, освобождать"
demander,просить
dent (f),"зуб, клык"
départ (m),"выезд, отправление"
dernier,последний
descendre,спускаться
désolé,огорченный
désoler,огорчать
détester,ненавидеть
détruire,разрушать
devenir,"делаться, становиться"
deviner,угадывать
devoir,быть должным
dieu (m),бог
différent,"различный, отличный"
difficile,трудный
dire,говорить
disparaître,"исчезать, скрываться"
docteur (m),врач
doigt (m),палец
dollar (m),доллар
donner,давать
dormir,спать
doute (m),сомнение
doux,сладкий
droit,правый
droit (m),право
droite (f),"прямая линия, правая сторона"
drôle,смешной
échapper,избегать
école (f),школа
écouter,слушать
écrire,писать
effet (m),эффект
église (f),церковь
éloigner,удалять (держать вдали)
embrasser,обнимать
emmener,увозить
empêcher,мешать
emporter,"уносить, увозить"
endroit (m),место
enfant,"(m, f) ребенок"
enlever,"снимать, похищать"
ennemi (m),враг
entendre,"слышать, понимать"
entier,"целый, полный"
entrer,"вводить, вносить, ввозить"
envie (f),"желание, зависть"
envoyer,"посылать, отправлять"
épaule (f),плечо
époque (f),эпоха
équipe (f),"отряд, бригада, команда"
erreur (f),"ошибка, заблуждение"
escalier (m),лестница
espèce (f),"порода, род, вид"
espérer,"ожидать, надеяться"
esprit (m),"ум, сознание"
essayer,пробовать
état (m),государство
étrange,странный
être,быть
être (m),"бытие, существо"
éviter,избегать
excuser,извинять
exemple (m),пример
exister,существовать
expliquer,объяснять
face (f),лицо
facile,легкий
façon (f),"фасон, покрой"
faim (f),голод
faire,делать
fait (m),"дело, факт"
falloir,надлежать
famille (f),семья
faute (f),"ошибка, промах"
faux,ложный
femme (f),"женщина, жена"
fenêtre (f),окно
fermer,закрывать
fête (f),праздник
filer,прясть
fille (f),дочь
film (m),фильм
fils (m pl),сын
finir,кончать
fleur (f),цветок
flic (m),полицейский
fois (f),раз
fond (m),"дно, фон"
force (f),сила
forme (f),форма
fort,сильный
foutre,"делать (груб), швырять, влепить"
français,французский
français (m),француз
frapper,бить
frère (m),брат
froid,холодный
front (m),"лоб, фронт, перед"
gagner,зарабатывать
garçon (m),мальчик
garde,"(f) охрана, (m) гвардеец, сторож, часовой"
garder,"охранять, беречь"
gars (m),парень
gauche,"(f)левая рука, левая сторона"
général (m),"общее, генерал"
genre (m),род
gens (pl),люди
gentil,милый
geste,"(m) жест, (f) подвиг, деяние"
glisser,скользить
gosse,"(m,f) парень, девушка, мальчишка, девчонка"
goût (m),вкус
